Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Health Status,Overall Health,How is your general health?,Excellent,Overall,Overall,"1,146",16.8,15.6,18.1,1,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,01,BO1,CAT1,GENHLTH,RESP056,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Status,Overall Health,How is your general health?,Very good,Overall,Overall,"2,227",27.9,26.5,29.3,2,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,01,BO1,CAT1,GENHLTH,RESP057,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Status,Overall Health,How is your general health?,Good,Overall,Overall,"2,892",32.4,31,33.8,3,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,01,BO1,CAT1,GENHLTH,RESP058,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Status,Overall Health,How is your general health?,Fair,Overall,Overall,"1,578",15.7,14.6,16.7,4,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,01,BO1,CAT1,GENHLTH,RESP059,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Status,Overall Health,How is your general health?,Poor,Overall,Overall,781,7.3,6.6,7.9,5,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,01,BO1,CAT1,GENHLTH,RESP060,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Health Status,Overall Health,How is your general health?,Excellent,Overall,Overall,869,21.1,19.4,22.8,1,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,02,BO1,CAT1,GENHLTH,RESP056,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Status,Overall Health,How is your general health?,Very good,Overall,Overall,"1,558",35.2,33.2,37.2,2,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,02,BO1,CAT1,GENHLTH,RESP057,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Status,Overall Health,How is your general health?,Good,Overall,Overall,"1,327",30.3,28.3,32.2,3,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,02,BO1,CAT1,GENHLTH,RESP058,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Status,Overall Health,How is your general health?,Fair,Overall,Overall,438,9.6,8.4,10.8,4,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,02,BO1,CAT1,GENHLTH,RESP059,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Status,Overall Health,How is your general health?,Poor,Overall,Overall,179,3.8,3.1,4.6,5,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,02,BO1,CAT1,GENHLTH,RESP060,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Health Status,Overall Health,How is your general health?,Excellent,Overall,Overall,"2,668",19.2,18.1,20.3,1,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,04,BO1,CAT1,GENHLTH,RESP056,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Status,Overall Health,How is your general health?,Very good,Overall,Overall,"4,807",31.4,30.1,32.6,2,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,04,BO1,CAT1,GENHLTH,RESP057,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Status,Overall Health,How is your general health?,Good,Overall,Overall,"4,427",30.4,29.2,31.7,3,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,04,BO1,CAT1,GENHLTH,RESP058,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Status,Overall Health,How is your general health?,Fair,Overall,Overall,"2,121",14.6,13.6,15.6,4,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,04,BO1,CAT1,GENHLTH,RESP059,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Status,Overall Health,How is your general health?,Poor,Overall,Overall,809,4.5,3.9,5,5,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,04,BO1,CAT1,GENHLTH,RESP060,"(34.865970280000454, -111.76381127699972)"
2014,AR,Arkansas,Health Status,Overall Health,How is your general health?,Excellent,Overall,Overall,655,15.3,13.6,16.9,1,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,05,BO1,CAT1,GENHLTH,RESP056,"(34.74865012400045, -92.27449074299966)"
